Stato,Abbreviations,Somma di Popolazione,Capitale
ALABAMA,Ala.,5024279,Montgomery
ALASKA,Alaska,733391,Juneau
ARIZONA,Ariz.,7151502,Phoenix
ARKANSAS,Ark.,3011524,Little Rock
CALIFORNIA,Calif.,39538223,Sacramento
CAROLINA DEL NORD,N.C.,10439388,Raleigh
CAROLINA DEL SUD,S.C.,5118425,Columbia
COLORADO,Colo.,5773714,Denver
CONNECTICUT,Conn.,3605944,Hartford
DAKOTA DEL NORD,N.D.,779094,Bismarck
DAKOTA DEL SUD,S.D.,886667,Pierre
DELAWARE,Del.,989948,Dover
DISTRETTO DI COLUMBIA,D.C.,689545,
FLORIDA,Fla.,21538187,Tallahassee
GEORGIA,Ga.,10711908,Atlanta
HAWAII,Hawaii,1455271,Honolulu
IDAHO,Idaho,1839106,Boise
ILLINOIS,Ill.,12812508,Springfield
INDIANA,Ind.,6785528,Indianapolis
IOWA,Iowa,3190369,Des Moines
KANSAS,Kan.,2937880,Topeka
KENTUCKY,Ky.,4505836,Frankfort
LOUISIANA,La.,4657757,Baton Rouge
MAINE,Maine,1362359,Augusta
MARYLAND,Md.,6177224,Annapolis
MASSACHUSETTS,Mass.,7029917,Boston
MICHIGAN,Mich.,10077331,Lansing
MINNESOTA,Minn.,5706494,Saint Paul
MISSISSIPPI,Miss.,2961279,Jackson
MISSOURI,Mo.,6154913,Jefferson City
MONTANA,Mont.,1084225,Helena
NEBRASKA,Neb.,1961504,Lincoln
NEVADA,Nev.,3104614,Carson City
NEW HAMPSHIRE,N.H.,1377529,Concord
NEW JERSEY,N.J.,9288994,Trenton
NEW YORK,N.Y.,20201249,Albany
NUOVO MESSICO,N.M.,2117522,Santa Fe
OHIO,Ohio,11799448,Columbus
OKLAHOMA,Okla.,3959353,Oklahoma City
OREGON,Ore.,4237256,Salem
PENNSYLVANIA,Pa.,13002700,Harrisburg
RHODE ISLAND,R.I.,1097379,Providence
TENNESSEE,Tenn.,6910840,Nashville
TEXAS,Texas,29145505,Austin
UTAH,Utah,3271616,Salt Lake City
VERMONT,Vt.,643077,Montpelier
VIRGINIA,Va.,8631393,Richmond
VIRGINIA OCCIDENTALE,W.Va.,1793716,Charleston
WASHINGTON,Wash.,7705281,Olympia
WISCONSIN,Wis.,5893718,Madison
WYOMING,Wyo.,576851,Cheyenne
